open_time,open,high,low,close,volume,close_time
1641960000000,3234.51000000,3260.89000000,3206.20000000,3217.52000000,45127.45290000,1641974399999
1641974400000,3217.53000000,3295.96000000,3215.78000000,3272.51000000,64712.11080000,1641988799999
1641988800000,3272.50000000,3388.02000000,3268.25000000,3361.76000000,134728.01770000,1642003199999
1642003200000,3361.75000000,3392.94000000,3336.34000000,3382.02000000,50746.51630000,1642017599999
1642017600000,3382.01000000,3411.43000000,3355.51000000,3371.26000000,37979.64890000,1642031999999
1642032000000,3371.60000000,3384.56000000,3310.00000000,3338.04000000,43018.48990000,1642046399999
1642046400000,3338.03000000,3352.67000000,3324.10000000,3339.99000000,31671.68370000,1642060799999
1642060800000,3339.99000000,3379.00000000,3328.86000000,3333.99000000,42080.28600000,1642075199999
1642075200000,3334.00000000,3410.00000000,3272.59000000,3301.43000000,106627.91280000,1642089599999
1642089600000,3301.42000000,3318.97000000,3247.52000000,3271.50000000,69821.56550000,1642103999999
1642104000000,3271.49000000,3278.73000000,3233.43000000,3240.61000000,43014.94200000,1642118399999
1642118400000,3240.61000000,3275.48000000,3222.22000000,3266.43000000,35148.57650000,1642132799999
1642132800000,3266.43000000,3312.39000000,3263.93000000,3268.97000000,41453.73170000,1642147199999
1642147200000,3268.96000000,3274.38000000,3193.34000000,3202.51000000,58649.33170000,1642161599999
1642161600000,3202.51000000,3299.69000000,3188.00000000,3278.00000000,74726.23820000,1642175999999
1642176000000,3278.16000000,3327.00000000,3258.18000000,3307.55000000,42306.39700000,1642190399999
1642190400000,3308.01000000,3342.79000000,3293.13000000,3307.42000000,33042.07540000,1642204799999
1642204800000,3307.42000000,3325.68000000,3295.14000000,3307.49000000,27181.99530000,1642219199999
1642219200000,3307.48000000,3320.50000000,3293.31000000,3313.52000000,22470.41850000,1642233599999
1642233600000,3313.53000000,3338.93000000,3310.00000000,3318.54000000,24284.79360000,1642247999999
1642248000000,3318.54000000,3369.94000000,3261.00000000,3361.97000000,75631.83120000,1642262399999
1642262400000,3361.97000000,3371.64000000,3339.32000000,3349.35000000,28685.31050000,1642276799999
1642276800000,3349.35000000,3370.24000000,3323.85000000,3326.04000000,24846.02870000,1642291199999
1642291200000,3326.51000000,3337.13000000,3295.14000000,3313.61000000,25452.52240000,1642305599999
1642305600000,3313.61000000,3340.04000000,3303.66000000,3331.75000000,24632.32740000,1642319999999
1642320000000,3332.00000000,3337.74000000,3285.49000000,3312.01000000,36056.92780000,1642334399999
1642334400000,3312.14000000,3362.58000000,3269.62000000,3353.50000000,63071.90940000,1642348799999
1642348800000,3353.49000000,3393.60000000,3312.79000000,3320.97000000,41561.46630000,1642363199999
1642363200000,3320.97000000,3362.26000000,3310.42000000,3346.88000000,20007.07440000,1642377599999
1642377600000,3346.89000000,3357.57000000,3256.01000000,3258.22000000,53176.16990000,1642391999999
1642392000000,3258.22000000,3299.95000000,3237.16000000,3270.70000000,48883.37460000,1642406399999
1642406400000,3270.71000000,3281.70000000,3251.00000000,3255.94000000,33598.82010000,1642420799999
1642420800000,3255.94000000,3280.60000000,3221.00000000,3236.65000000,45912.29200000,1642435199999
1642435200000,3236.65000000,3246.76000000,3180.13000000,3218.96000000,55796.83010000,1642449599999
